Tytuł;Data Zaindeksowania;Link;Cena zł
Hifly AT601 265/70/16 265/70R16 R16 Całoroczne M+S 9564355878 - Allegro.pl;https://allegro.pl/oferta/hifly-at601-265-70-16-265-70r16-r16-caloroczne-m-s-9564355878;09/03/2020 07:30:24;1370.0
CONTINENTAL ContiCrossContact LX 2 265/70 R16 112 9605514405 - Allegro.pl;https://allegro.pl/oferta/continental-conticrosscontact-lx-2-265-70-r16-112-9605514405;09/01/2020 13:41:36;590.98
4X OPONY ZIMOWE S220 265/70 R16 RADOM 9652484070 - Allegro.pl;https://allegro.pl/oferta/4x-opony-zimowe-s220-265-70-r16-radom-9652484070;09/03/2020 04:38:29;1259.0
OPONA DUNLOP GRANDTREK ST1 ALLSEASON 265/70 R16 8603689734 - Allegro.pl;https://allegro.pl/oferta/opona-dunlop-grandtrek-st1-allseason-265-70-r16-8603689734;09/22/2020 09:05:50;150.0
MIRAGE MR-W662 265/70 R16 112 T 9586893795 - Allegro.pl;https://allegro.pl/oferta/mirage-mr-w662-265-70-r16-112-t-9586893795;09/22/2020 17:50:56;278.34
2x Zeetex WP1000 175/70 R13 82T 9659861846 - Allegro.pl;https://allegro.pl/oferta/2x-zeetex-wp1000-175-70-r13-82t-9659861846;09/22/2020 17:38:53;276.0
2x Zeetex WP1000 165/70 R14 81T 9659862382 - Allegro.pl;https://allegro.pl/oferta/2x-zeetex-wp1000-165-70-r14-81t-9659862382;09/22/2020 18:35:30;304.0
2x OPONY LETNIE 265/70 R16 Rotalla RF10 112H 9645715465 - Allegro.pl;https://allegro.pl/oferta/2x-opony-letnie-265-70-r16-rotalla-rf10-112h-9645715465;09/01/2020 12:15:44;581.11
CONTINENTAL CROSS CONTACT WINTER 265/70 R16 112 T 9605506144 - Allegro.pl;https://allegro.pl/oferta/continental-cross-contact-winter-265-70-r16-112-t-9605506144;09/01/2020 22:52:40;679.91
4x 265/70 R16 MATADOR nowe letnie 112H Continental 9496982435 - Allegro.pl;https://allegro.pl/oferta/4x-265-70-r16-matador-nowe-letnie-112h-continental-9496982435;09/03/2020 08:56:45;1425.0
4x KUMHO CRUGEN HP91 265/70 R16 112V RADOM 8845606865 - Allegro.pl;https://allegro.pl/oferta/4x-kumho-crugen-hp91-265-70-r16-112v-radom-8845606865;09/03/2020 08:37:44;1378.0
4x OPONY LETNIE 265/70 R16 Rotalla RF10 112H 9645715459 - Allegro.pl;https://allegro.pl/oferta/4x-opony-letnie-265-70-r16-rotalla-rf10-112h-9645715459;09/03/2020 00:44:17;1162.22
2x Nexen 265/70 R16 ROADIAN HTX RH5 112H 9284973304 - Allegro.pl;https://allegro.pl/oferta/2x-nexen-265-70-r16-roadian-htx-rh5-112h-9284973304;09/02/2020 16:53:54;842.0
2x OPONY ZIMOWE 265/70 R16 Starmaxx W870 112T 9645731272 - Allegro.pl;https://allegro.pl/oferta/2x-opony-zimowe-265-70-r16-starmaxx-w870-112t-9645731272;09/02/2020 22:04:56;1059.1
4x OPONY ZIMOWE 265/70 R16 PowerTrac SNOWTOUR 112T 9645775912 - Allegro.pl;https://allegro.pl/oferta/4x-opony-zimowe-265-70-r16-powertrac-snowtour-112t-9645775912;09/03/2020 02:40:23;1239.99
CONTINENTAL CROSS CONTACT WINTER 265/70 R16 112 T 9605508870 - Allegro.pl;https://allegro.pl/oferta/continental-cross-contact-winter-265-70-r16-112-t-9605508870;09/01/2020 22:12:44;672.91
4x OPONY ZIMOWE 265/70 R16 Kumho WINTERCRAFT WS71 9645764812 - Allegro.pl;https://allegro.pl/oferta/4x-opony-zimowe-265-70-r16-kumho-wintercraft-ws71-9645764812;09/03/2020 18:46:48;1711.94
MICHELIN LATITUDE ALPIN 265/70 R16 112 T TL 9461934783 - Allegro.pl;https://allegro.pl/oferta/michelin-latitude-alpin-265-70-r16-112-t-tl-9461934783;09/02/2020 13:45:45;746.36
4x OPONY ZIMOWE 265/70 R16 Tracmax S220 112H 9645770211 - Allegro.pl;https://allegro.pl/oferta/4x-opony-zimowe-265-70-r16-tracmax-s220-112h-9645770211;09/03/2020 04:00:07;1316.04
4x OPONY ZIMOWE 265/70 R16 Roadmarch SNOWROVER 868 9645752279 - Allegro.pl;https://allegro.pl/oferta/4x-opony-zimowe-265-70-r16-roadmarch-snowrover-868-9645752279;09/03/2020 00:40:25;1172.26
2x OPONY CAŁOROCZNE 265/70 R16 Sailun TERRAMAX AT 9645782066 - Allegro.pl;https://allegro.pl/oferta/2x-opony-caloroczne-265-70-r16-sailun-terramax-at-9645782066;09/03/2020 07:46:36;1379.74
4x OPONY LETNIE 265/70 R16 Kormoran ROAD TERRAIN 9645679792 - Allegro.pl;https://allegro.pl/oferta/4x-opony-letnie-265-70-r16-kormoran-road-terrain-9645679792;09/03/2020 06:47:30;1347.22
4X GT RADIAL SAVERO SUV 265/70 R16 RADOM 9189862839 - Allegro.pl;https://allegro.pl/oferta/4x-gt-radial-savero-suv-265-70-r16-radom-9189862839;09/02/2020 22:56:42;1030.0
2x 265/70 R16 MATADOR nowe letnie 112H Continental 9497008882 - Allegro.pl;https://allegro.pl/oferta/2x-265-70-r16-matador-nowe-letnie-112h-continental-9497008882;09/02/2020 10:02:38;719.0
4x OPONY LETNIE 265/70 R16 Kormoran ROAD TERRAIN 9645680181 - Allegro.pl;https://allegro.pl/oferta/4x-opony-letnie-265-70-r16-kormoran-road-terrain-9645680181;09/03/2020 07:16:51;1323.56
4x OPONY ZIMOWE 265/65R17 Zeetex WQ1000 112H 9560920891 - Allegro.pl;https://allegro.pl/oferta/4x-opony-zimowe-265-65r17-zeetex-wq1000-112h-9560920891;09/03/2020 05:30:10;1302.14
4x Opona Nexen Roadian HTX RH5 265/70 R16 112S 9573924214 - Allegro.pl;https://allegro.pl/oferta/4x-opona-nexen-roadian-htx-rh5-265-70-r16-112s-9573924214;09/03/2020 08:15:39;1420.0
BRIDGESTONE DUELER H/T D689 265/70 R16 112 H 9648427740 - Allegro.pl;https://allegro.pl/oferta/bridgestone-dueler-h-t-d689-265-70-r16-112-h-9648427740;09/01/2020 23:19:38;693.09
2x Opona Nexen Roadian HTX RH5 265/70 R16 112S 9573924182 - Allegro.pl;https://allegro.pl/oferta/2x-opona-nexen-roadian-htx-rh5-265-70-r16-112s-9573924182;09/02/2020 04:37:08;710.0
4 x Powertrac Snowtour 265/70 R16 112 T SUV 9617996962 - Allegro.pl;https://allegro.pl/oferta/4-x-powertrac-snowtour-265-70-r16-112-t-suv-9617996962;09/03/2020 02:37:27;1228.0
2X 265/70 R16 ROADCRUZA OFF ROAD 121R DOT:2020 9170208864 - Allegro.pl;https://allegro.pl/oferta/2x-265-70-r16-roadcruza-off-road-121r-dot-2020-9170208864;09/02/2020 23:21:11;1032.99
1x OPONA CAŁOROCZNA 265/70 R16 Maxxis MA-SAS 112H 9645783201 - Allegro.pl;https://allegro.pl/oferta/1x-opona-caloroczna-265-70-r16-maxxis-ma-sas-112h-9645783201;09/01/2020 12:50:07;592.45
4x OPONY LETNIE 265/70 R16 Mirage MR-AT172 112T 9645678847 - Allegro.pl;https://allegro.pl/oferta/4x-opony-letnie-265-70-r16-mirage-mr-at172-112t-9645678847;09/03/2020 00:20:41;2227.66
4x OPONY ZIMOWE 265/70 R16 Nankang SV 55 112H 9645745456 - Allegro.pl;https://allegro.pl/oferta/4x-opony-zimowe-265-70-r16-nankang-sv-55-112h-9645745456;09/03/2020 19:20:01;1731.99
2x Goodyear 265/70 R16 EFFICIENTG SUV.4X4 112H FP 9566997668 - Allegro.pl;https://allegro.pl/oferta/2x-goodyear-265-70-r16-efficientg-suv-4x4-112h-fp-9566997668;09/02/2020 22:46:33;1083.0
2x opony Zeetex WQ1000 265/70R16 112H zimowe 2020r 9611367676 - Allegro.pl;https://allegro.pl/oferta/2x-opony-zeetex-wq1000-265-70r16-112h-zimowe-2020r-9611367676;09/01/2020 18:33:04;654.0
4x OPONY ZIMOWE 155/70 R13 Zeetex WP1000 75T 9645674246 - Allegro.pl;https://allegro.pl/oferta/4x-opony-zimowe-155-70-r13-zeetex-wp1000-75t-9645674246;09/02/2020 09:29:50;757.65
4x opony Zeetex WQ1000 265/65R17 112H zimowe 2020r 9561260595 - Allegro.pl;https://allegro.pl/oferta/4x-opony-zeetex-wq1000-265-65r17-112h-zimowe-2020r-9561260595;09/03/2020 04:06:45;1250.0
2x OPONY ZIMOWE 265/65R17 Zeetex WQ1000 116H XL 8660823925 - Allegro.pl;https://allegro.pl/oferta/2x-opony-zimowe-265-65r17-zeetex-wq1000-116h-xl-8660823925;09/03/2020 00:34:36;1164.21
4x opony Zeetex WQ1000 265/70R16 112H zimowe 2020r 9611368683 - Allegro.pl;https://allegro.pl/oferta/4x-opony-zeetex-wq1000-265-70r16-112h-zimowe-2020r-9611368683;09/03/2020 02:45:13;1258.0
4 General Grabber HTS60 265/70 R16 112 T FR OWL 8956417458 - Allegro.pl;https://allegro.pl/oferta/4-general-grabber-hts60-265-70-r16-112-t-fr-owl-8956417458;09/03/2020 18:46:44;1740.0
4 x Roadcruza RA1100 265/70 R16 121/118 R SUV 9255432259 - Allegro.pl;https://allegro.pl/oferta/4-x-roadcruza-ra1100-265-70-r16-121-118-r-suv-9255432259;09/04/2020 03:53:13;2014.0
4 x Hifly Vigorous AT601 265/70 R16 117 S SUV 9553933535 - Allegro.pl;https://allegro.pl/oferta/4-x-hifly-vigorous-at601-265-70-r16-117-s-suv-9553933535;09/03/2020 03:56:39;1295.0
4x WindForce CATCHFORS AT 265/70 R16 112 T OWL SUV 8947872588 - Allegro.pl;https://allegro.pl/oferta/4x-windforce-catchfors-at-265-70-r16-112-t-owl-suv-8947872588;09/03/2020 09:16:36;1488.0
1x OPONA ZIMOWA 185/70 R14 Zeetex WP1000 88T 9645685663 - Allegro.pl;https://allegro.pl/oferta/1x-opona-zimowa-185-70-r14-zeetex-wp1000-88t-9645685663;09/22/2020 18:07:26;302.46
4 x Kumho Crugen HP91 265/70 R16 112 V SUV 9347257919 - Allegro.pl;https://allegro.pl/oferta/4-x-kumho-crugen-hp91-265-70-r16-112-v-suv-9347257919;09/03/2020 08:47:25;1433.0
4 x Hifly Vigorous HT601 265/70 R16 112 H SUV 8954763660 - Allegro.pl;https://allegro.pl/oferta/4-x-hifly-vigorous-ht601-265-70-r16-112-h-suv-8954763660;09/03/2020 02:33:37;1228.0
4 Cooper Discoverer AT3 4S 265/70 R16 112T OWL SUV 9240717475 - Allegro.pl;https://allegro.pl/oferta/4-cooper-discoverer-at3-4s-265-70-r16-112t-owl-suv-9240717475;09/04/2020 03:27:14;2018.0
2x opony Zeetex WQ1000 265/65R17 112H zimowe 2020r 9561256002 - Allegro.pl;https://allegro.pl/oferta/2x-opony-zeetex-wq1000-265-65r17-112h-zimowe-2020r-9561256002;09/01/2020 23:30:29;647.0
4x OPONY ZIMOWE 175/70 R14 Zeetex WP1000 84T 9645762107 - Allegro.pl;https://allegro.pl/oferta/4x-opony-zimowe-175-70-r14-zeetex-wp1000-84t-9645762107;09/02/2020 13:24:59;800.25
4x OPONY ZIMOWE 195/55 R16 Zeetex WP1000 87H 9645689570 - Allegro.pl;https://allegro.pl/oferta/4x-opony-zimowe-195-55-r16-zeetex-wp1000-87h-9645689570;09/02/2020 15:22:54;825.14
OPONA ZEETEX ZT1000 205/60 R16 96V XL 2018R 9366192995 - Allegro.pl;https://allegro.pl/oferta/opona-zeetex-zt1000-205-60-r16-96v-xl-2018r-9366192995;09/22/2020 02:37:56;120.0
4x OPONY ZIMOWE 235/65 R16 Zeetex WV1000 R C 9645677366 - Allegro.pl;https://allegro.pl/oferta/4x-opony-zimowe-235-65-r16-zeetex-wv1000-r-c-9645677366;09/03/2020 06:58:45;1377.91
2X OPONY ZIMOWE ZEETEX WH1000 225/55/R16 19R 8MM 9220312677 - Allegro.pl;https://allegro.pl/oferta/2x-opony-zimowe-zeetex-wh1000-225-55-r16-19r-8mm-9220312677;09/22/2020 18:00:50;299.99
4 x Nexen ROADIAN HTX RH5 265/70 R16 112 S SUV 9400471319 - Allegro.pl;https://allegro.pl/oferta/4-x-nexen-roadian-htx-rh5-265-70-r16-112-s-suv-9400471319;09/03/2020 09:17:43;1453.0
2x Matador 265/70 R16 MP72 IZZARDA A/T 2 112T FR 9432670440 - Allegro.pl;https://allegro.pl/oferta/2x-matador-265-70-r16-mp72-izzarda-a-t-2-112t-fr-9432670440;09/02/2020 22:31:58;1056.0
4 x Nexen ROADIAN HTX RH5 265/70 R16 112 S SUV 8956080839 - Allegro.pl;https://allegro.pl/oferta/4-x-nexen-roadian-htx-rh5-265-70-r16-112-s-suv-8956080839;09/03/2020 08:30:23;1432.0
4 x Atlas Sport Green SUV 265/70 R16 112 H SUV 8518243291 - Allegro.pl;https://allegro.pl/oferta/4-x-atlas-sport-green-suv-265-70-r16-112-h-suv-8518243291;09/03/2020 09:37:59;1458.0
4 x Kormoran Road Terrain 265/70 R16 116 T XL SUV 9034798105 - Allegro.pl;https://allegro.pl/oferta/4-x-kormoran-road-terrain-265-70-r16-116-t-xl-suv-9034798105;09/03/2020 08:11:18;1409.0
4 x Cooper Discoverer M+S Sport 265/70 R16 112 T 9248525394 - Allegro.pl;https://allegro.pl/oferta/4-x-cooper-discoverer-m-s-sport-265-70-r16-112-t-9248525394;09/03/2020 21:36:37;1794.0
4 Yokohama GEOLANDAR H/T G056 265/70 R16 112 H SUV 9580529235 - Allegro.pl;https://allegro.pl/oferta/4-yokohama-geolandar-h-t-g056-265-70-r16-112-h-suv-9580529235;09/04/2020 02:20:08;1981.0
4x OPONY ZIMOWE 175/70 R14 Zeetex WP1000 88T XL 9645699992 - Allegro.pl;https://allegro.pl/oferta/4x-opony-zimowe-175-70-r14-zeetex-wp1000-88t-xl-9645699992;09/02/2020 17:54:42;836.27
4x OPONY ZIMOWE 235/65 R16 Zeetex WV1000 R C 9645678459 - Allegro.pl;https://allegro.pl/oferta/4x-opony-zimowe-235-65-r16-zeetex-wv1000-r-c-9645678459;09/03/2020 03:52:35;1247.7
4x OPONY ZIMOWE 195/50 R16 Zeetex WP1000 88H XL 9645688388 - Allegro.pl;https://allegro.pl/oferta/4x-opony-zimowe-195-50-r16-zeetex-wp1000-88h-xl-9645688388;09/03/2020 00:31:48;1165.57
4x OPONY ZIMOWE 225/55 R16 Zeetex WH1000 99V XL 9645673215 - Allegro.pl;https://allegro.pl/oferta/4x-opony-zimowe-225-55-r16-zeetex-wh1000-99v-xl-9645673215;09/03/2020 01:29:59;1193.31
4x OPONY ZIMOWE 225/70 R15 Zeetex WV1000 S C 9645670144 - Allegro.pl;https://allegro.pl/oferta/4x-opony-zimowe-225-70-r15-zeetex-wv1000-s-c-9645670144;09/03/2020 04:05:12;1304.31
4x OPONY ZIMOWE 205/70 R15 Zeetex WV1000 S C 9645736696 - Allegro.pl;https://allegro.pl/oferta/4x-opony-zimowe-205-70-r15-zeetex-wv1000-s-c-9645736696;09/02/2020 21:41:59;1042.84
2x OPONY ZIMOWE 195/70 R15 Zeetex WV1000 S C 9645771476 - Allegro.pl;https://allegro.pl/oferta/2x-opony-zimowe-195-70-r15-zeetex-wv1000-s-c-9645771476;09/02/2020 09:51:48;754.43
SAILUN 265 70 R19.5 S702 SDR1 265 70 19,5 Opona 9324808359 - Allegro.pl;https://allegro.pl/oferta/sailun-265-70-r19-5-s702-sdr1-265-70-19-5-opona-9324808359;09/02/2020 17:36:18;824.0
4x OPONY ZIMOWE 215/55 R16 Zeetex WH1000 97V XL 9645759477 - Allegro.pl;https://allegro.pl/oferta/4x-opony-zimowe-215-55-r16-zeetex-wh1000-97v-xl-9645759477;09/03/2020 05:08:25;1338.58
4x OPONY ZIMOWE 205/65 R16 Zeetex WV1000 T C 9645735787 - Allegro.pl;https://allegro.pl/oferta/4x-opony-zimowe-205-65-r16-zeetex-wv1000-t-c-9645735787;09/02/2020 22:23:39;1059.46
2x OPONY ZIMOWE 225/55 R16 Zeetex WH1000 99V XL 9645672844 - Allegro.pl;https://allegro.pl/oferta/2x-opony-zimowe-225-55-r16-zeetex-wh1000-99v-xl-9645672844;09/01/2020 12:52:36;597.24
4x OPONY ZIMOWE 215/65 R16 Zeetex WV1000 R C 9645701766 - Allegro.pl;https://allegro.pl/oferta/4x-opony-zimowe-215-65-r16-zeetex-wv1000-r-c-9645701766;09/02/2020 23:46:15;1105.48
4 x Aplus A929 A/T 265/70 R16 111 T OWL SUV 8956133203 - Allegro.pl;https://allegro.pl/oferta/4-x-aplus-a929-a-t-265-70-r16-111-t-owl-suv-8956133203;09/03/2020 04:56:56;1304.0
WINDFORCE 265/70/17 265/70R17 R17 Całoroczne 9047284196 - Allegro.pl;https://allegro.pl/oferta/windforce-265-70-17-265-70r17-r17-caloroczne-9047284196;09/03/2020 04:56:17;1290.0
ROADCRUZA 235/70/16 235/70R16 235/70 R16 OWL 9612148832 - Allegro.pl;https://allegro.pl/oferta/roadcruza-235-70-16-235-70r16-235-70-r16-owl-9612148832;09/03/2020 10:09:27;1470.0
ROADCRUZA 215/70/16 215/70R16 215/70 R16 OWL 9611420149 - Allegro.pl;https://allegro.pl/oferta/roadcruza-215-70-16-215-70r16-215-70-r16-owl-9611420149;09/03/2020 07:21:47;1360.0
ROADCRUZA 215/70/16 215/70R16 215/70 R16 OWL 9611415402 - Allegro.pl;https://allegro.pl/oferta/roadcruza-215-70-16-215-70r16-215-70-r16-owl-9611415402;09/03/2020 07:24:25;1360.0
ROADCRUZA 215/70/16 215/70R16 215/70 R16 OWL 9611423173 - Allegro.pl;https://allegro.pl/oferta/roadcruza-215-70-16-215-70r16-215-70-r16-owl-9611423173;09/03/2020 06:11:14;1320.0
TRACMAX 215/70/16 215/70R16 215/70 R16 Całoroczne 9496446386 - Allegro.pl;https://allegro.pl/oferta/tracmax-215-70-16-215-70r16-215-70-r16-caloroczne-9496446386;09/02/2020 23:11:08;1050.0
Hifly AT601 265/70/17 265/70R17 R17 Całoroczne M+S 8896211035 - Allegro.pl;https://allegro.pl/oferta/hifly-at601-265-70-17-265-70r17-r17-caloroczne-m-s-8896211035;09/03/2020 08:36:47;1390.0
Hifly HT601 SUV 265/70/16 265/70R16 Całoroczne M+S 8895894788 - Allegro.pl;https://allegro.pl/oferta/hifly-ht601-suv-265-70-16-265-70r16-caloroczne-m-s-8895894788;09/03/2020 07:21:47;1360.0
1x OPONA 265/70 R19.5 Continental 9645677621 - Allegro.pl;https://allegro.pl/oferta/1x-opona-265-70-r19-5-continental-9645677621;09/03/2020 18:44:33;1739.62
Firestone 265/70 R19.5 FD611 140M 9339634821 - Allegro.pl;https://allegro.pl/oferta/firestone-265-70-r19-5-fd611-140m-9339634821;09/02/2020 23:27:32;1056.0
Bridgestone 265/70 R19.5 RD2 140M 9339626835 - Allegro.pl;https://allegro.pl/oferta/bridgestone-265-70-r19-5-rd2-140m-9339626835;09/03/2020 04:39:23;1264.0
